pH,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,media,organism
4.073333333,-3.77,-3.87,-4.74,-4.39,-4.59,-2.31,-5.07,-1.86,-3.54,PBS,S.cerevisiae
5.123333333,-4.84,-5.03,-4.69,-4.6,-5.84,-6.17,-4.81,-4.81,-3.81,PBS,S.cerevisiae
6.12,-6.46,-5.9,-6.575,-4.85,-5.14,-6.88,-6.75,-8.72,-8.23,PBS,S.cerevisiae
7.04,-11.9,-8.55,-8.325,-7.61,-7.22,-8.26,-4.81,-4.98,-6.37,PBS,S.cerevisiae
7.635,-6.45,-6.02,-6.95,-5.36,-8.66,-6.79,-6.1,-5.67,-8.06,PBS,S.cerevisiae
7.635,-8.52,-5.21,-3.54,-7.05,-6.62,-6.06,-7.57,-7.41,-9.25,PBS,S.cerevisiae
8.75,-9.05,-8.05,-7.78,-10.2,-7.33,-6.87,-8.81,-7.9,-7.82,PBS,S.cerevisiae
9.52,-4.64,-8.82,-8.54,-8.21,-8.28,-10.8,-10,-8.53,-7.29,PBS,S.cerevisiae
9.91,-8.97,-9.1,-8.32,-9.16,-7.87,-5.91,-7.69,-7.33,-8.58,PBS,S.cerevisiae
4.00666667,-1.67,-3.07,-3.04,-2.06,-3.05,-2.22,-1.4,-2.2,-1.36,PBS,P.fluorescens
4.75,-4.2,-3.97,-4.51,-3.44,-4.58,-5.2,-2.29,-5.53,-3.74,PBS,P.fluorescens
6.16,-5.905,-4.17,-5.73,-5.84,-6.5,-6.3,-3.94,-6.49,-7.3,PBS,P.fluorescens
7.06,-5.02,-6.27,-6.44,-7.39,-7.08,-4.64,-4.76,-5.15,-5.37,PBS,P.fluorescens
7.62,-7.96,-7.09,-7.62,-8.41,-5.89,-4.99,-8.08,-7.12,-7.37,PBS,P.fluorescens
7.62,-5.77,-6.96,-6.55,-5.77,-5.37,-6.295,-7.09,-6.3,-7.29,PBS,P.fluorescens
8.75666667,-6.68,-5.92,-6.04,-4.22,-4.52,-7.54,-5.64,-7.73,-5.66,PBS,P.fluorescens
9.39333333,-5.86,-7.505,-9.43,-5.46,-7.185,-6.1,-7.315,-7.96,-7.02,PBS,P.fluorescens
10.01,-5.67,-6.61,-7.67,-5.62,-5.87,-5.02,-5.52,-4.22,-7.29,PBS,P.fluorescens
4.083333333,-23.3,-23,-23.9,-17.2,-18.7,-18.3,-16.5,-19,-17.9,PBS,S.aureus
5.18,-26.8,-30.8,-30.2,-20.2,-22.8,-25.1,-25,-26.5,-27.3,PBS,S.aureus
6.09,-29.1,-29.5,-29.7,-23.6,-25.5,-26.9,-26.7,-29.3,-29.9,PBS,S.aureus
6.993333333,-30.2,-32.3,-33.2,-27.4,-27.9,-27.9,-29.5,-28.7,-30.4,PBS,S.aureus
7.706666667,-29.8,-31,-30.5,-27.6,-28.5,-30.1,-26.9,-28.9,-28.4,PBS,S.aureus
7.706666667,-28.8,-30.1,-31.8,-31.8,-32,-32.9,-28.8,-29.8,-30.2,PBS,S.aureus
8.693333333,-28.6,-30.6,-32.15,-31.7,-33.3,-32.9,-26.4,-29.5,-29.9,PBS,S.aureus
9.446666667,-29.6,-31.95,-30.2,-31.2,-32.2,-32.3,-35,-29.5,-27,PBS,S.aureus
9.883333333,-29.5,-31.9,-31.3,-28.3,-28.9,-31.4,-27.3,-29,-30.45,PBS,S.aureus
